"YearsSinceBurn","Compound","Concentration"
"1",2,"alpha.pinene",0.6
"2",2,"para.cymene",0.4
"3",2,"alpha.terpineol",2.3
"4",2,"cedr.9.ene",0.2
"5",2,"alpha.cedrene",1.9
"6",2,"beta.cedrene",1.2
"7",2,"cis.thujopsene",25.9
"8",2,"alpha.himachalene",0.2
"9",2,"beta.chamigrene",0.4
"10",2,"cuparene",1.8
"11",2,"compound.1",0.7
"12",2,"alpha.chamigrene",0
"13",2,"widdrol",1
"14",2,"cedrol",37.5
"15",2,"beta.acorenol",3.3
"16",2,"alpha.acorenol",1.1
"17",2,"gamma.eudesmol",0
"18",2,"beta.eudesmol",2
"19",2,"alpha.eudesmol",0.6
"20",2,"cedr.8.en.13.ol",1.6
"21",2,"cedr.8.en.15.ol",2.4
"22",2,"compound.2",0
"23",2,"thujopsenal",2.6
"24",3,"alpha.pinene",1.4
"25",3,"para.cymene",0.3
"26",3,"alpha.terpineol",0.5
"27",3,"cedr.9.ene",1
"28",3,"alpha.cedrene",9.5
"29",3,"beta.cedrene",3.3
"30",3,"cis.thujopsene",22.8
"31",3,"alpha.himachalene",0.4
"32",3,"beta.chamigrene",1.1
"33",3,"cuparene",1.8
"34",3,"compound.1",2.4
"35",3,"alpha.chamigrene",0.6
"36",3,"widdrol",5.2
"37",3,"cedrol",14.2
"38",3,"beta.acorenol",0
"39",3,"alpha.acorenol",0
"40",3,"gamma.eudesmol",3.5
"41",3,"beta.eudesmol",3.5
"42",3,"alpha.eudesmol",1.8
"43",3,"cedr.8.en.13.ol",10.5
"44",3,"cedr.8.en.15.ol",2.4
"45",3,"compound.2",0.5
"46",3,"thujopsenal",2.8
"47",4,"alpha.pinene",0.2
"48",4,"para.cymene",1.1
"49",4,"alpha.terpineol",0.8
"50",4,"cedr.9.ene",1.1
"51",4,"alpha.cedrene",13.2
"52",4,"beta.cedrene",3.2
"53",4,"cis.thujopsene",12.5
"54",4,"alpha.himachalene",0.4
"55",4,"beta.chamigrene",1.8
"56",4,"cuparene",2.4
"57",4,"compound.1",4.8
"58",4,"alpha.chamigrene",1.3
"59",4,"widdrol",11.3
"60",4,"cedrol",7.5
"61",4,"beta.acorenol",0
"62",4,"alpha.acorenol",0
"63",4,"gamma.eudesmol",2.8
"64",4,"beta.eudesmol",2
"65",4,"alpha.eudesmol",1.3
"66",4,"cedr.8.en.13.ol",9.3
"67",4,"cedr.8.en.15.ol",1.7
"68",4,"compound.2",1.4
"69",4,"thujopsenal",1.8
"70",6,"alpha.pinene",0.3
"71",6,"para.cymene",0.1
"72",6,"alpha.terpineol",0.7
"73",6,"cedr.9.ene",0.7
"74",6,"alpha.cedrene",6.7
"75",6,"beta.cedrene",2.3
"76",6,"cis.thujopsene",19.98
"77",6,"alpha.himachalene",0.3
"78",6,"beta.chamigrene",0.8
"79",6,"cuparene",1.7
"80",6,"compound.1",2.4
"81",6,"alpha.chamigrene",0
"82",6,"widdrol",7.2
"83",6,"cedrol",21.2
"84",6,"beta.acorenol",1
"85",6,"alpha.acorenol",1
"86",6,"gamma.eudesmol",0
"87",6,"beta.eudesmol",0.7
"88",6,"alpha.eudesmol",0.3
"89",6,"cedr.8.en.13.ol",8.2
"90",6,"cedr.8.en.15.ol",2.8
"91",6,"compound.2",0.7
"92",6,"thujopsenal",1.8
"93",7,"alpha.pinene",0.1
"94",7,"para.cymene",0.1
"95",7,"alpha.terpineol",0.2
"96",7,"cedr.9.ene",1
"97",7,"alpha.cedrene",8.1
"98",7,"beta.cedrene",2.9
"99",7,"cis.thujopsene",14
"100",7,"alpha.himachalene",0.4
"101",7,"beta.chamigrene",0.9
"102",7,"cuparene",1.3
"103",7,"compound.1",2.4
"104",7,"alpha.chamigrene",0.7
"105",7,"widdrol",13.4
"106",7,"cedrol",17.9
"107",7,"beta.acorenol",1.3
"108",7,"alpha.acorenol",0
"109",7,"gamma.eudesmol",3
"110",7,"beta.eudesmol",3.3
"111",7,"alpha.eudesmol",1.4
"112",7,"cedr.8.en.13.ol",3.5
"113",7,"cedr.8.en.15.ol",1.4
"114",7,"compound.2",1.6
"115",7,"thujopsenal",2
"116",8,"alpha.pinene",0
"117",8,"para.cymene",0.1
"118",8,"alpha.terpineol",0.1
"119",8,"cedr.9.ene",0.3
"120",8,"alpha.cedrene",9.4
"121",8,"beta.cedrene",1.8
"122",8,"cis.thujopsene",9.3
"123",8,"alpha.himachalene",0.2
"124",8,"beta.chamigrene",1
"125",8,"cuparene",2.1
"126",8,"compound.1",1.9
"127",8,"alpha.chamigrene",0.8
"128",8,"widdrol",9.6
"129",8,"cedrol",14.6
"130",8,"beta.acorenol",0
"131",8,"alpha.acorenol",0
"132",8,"gamma.eudesmol",1.4
"133",8,"beta.eudesmol",1.1
"134",8,"alpha.eudesmol",0.6
"135",8,"cedr.8.en.13.ol",17.2
"136",8,"cedr.8.en.15.ol",3.4
"137",8,"compound.2",2.3
"138",8,"thujopsenal",2.4
"139",9,"alpha.pinene",0.1
"140",9,"para.cymene",0.5
"141",9,"alpha.terpineol",2.8
"142",9,"cedr.9.ene",0.4
"143",9,"alpha.cedrene",8.7
"144",9,"beta.cedrene",2.8
"145",9,"cis.thujopsene",28.9
"146",9,"alpha.himachalene",0.3
"147",9,"beta.chamigrene",0.5
"148",9,"cuparene",1.5
"149",9,"compound.1",1
"150",9,"alpha.chamigrene",0.3
"151",9,"widdrol",1.5
"152",9,"cedrol",39.9
"153",9,"beta.acorenol",1.5
"154",9,"alpha.acorenol",0.7
"155",9,"gamma.eudesmol",0
"156",9,"beta.eudesmol",1.2
"157",9,"alpha.eudesmol",0.3
"158",9,"cedr.8.en.13.ol",0.3
"159",9,"cedr.8.en.15.ol",0.8
"160",9,"compound.2",0.4
"161",9,"thujopsenal",1.5
"162",11,"alpha.pinene",0.2
"163",11,"para.cymene",0.6
"164",11,"alpha.terpineol",1.1
"165",11,"cedr.9.ene",0.5
"166",11,"alpha.cedrene",8.6
"167",11,"beta.cedrene",2.9
"168",11,"cis.thujopsene",14.4
"169",11,"alpha.himachalene",0.3
"170",11,"beta.chamigrene",0.5
"171",11,"cuparene",1.7
"172",11,"compound.1",0.8
"173",11,"alpha.chamigrene",0.3
"174",11,"widdrol",2.9
"175",11,"cedrol",37.3
"176",11,"beta.acorenol",0
"177",11,"alpha.acorenol",0
"178",11,"gamma.eudesmol",3.2
"179",11,"beta.eudesmol",4.8
"180",11,"alpha.eudesmol",1.6
"181",11,"cedr.8.en.13.ol",6.4
"182",11,"cedr.8.en.15.ol",1.6
"183",11,"compound.2",0.9
"184",11,"thujopsenal",1.8
"185",12,"alpha.pinene",0.1
